"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2015,2,"Eixample",10,"Sant Antoni","Nou. Euros/m2 construït",2545.3
2015,3,"Sants-Montjuïc",11,"el Poble Sec","Nou. Euros/m2 construït",NA
2015,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nou. Euros/m2 construït",NA
2015,3,"Sants-Montjuïc",13,"la Marina de Port","Nou. Euros/m2 construït",NA
2015,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nou. Euros/m2 construït",NA
2015,3,"Sants-Montjuïc",15,"Hostafrancs","Nou. Euros/m2 construït",2029.6
2015,3,"Sants-Montjuïc",16,"la Bordeta","Nou. Euros/m2 construït",2732.7
2015,3,"Sants-Montjuïc",17,"Sants - Badal","Nou. Euros/m2 construït",2095.7
2015,3,"Sants-Montjuïc",18,"Sants","Nou. Euros/m2 construït",NA
2015,4,"Les Corts",19,"les Corts","Nou. Euros/m2 construït",5474.9
2015,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nou. Euros/m2 construït",3928.3
2015,4,"Les Corts",21,"Pedralbes","Nou. Euros/m2 construït",7786.2
2015,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nou. Euros/m2 construït",NA
